dteday,yr,season,mnth,day,hr,holiday,weekday,workingday,casual,registered
1/1/2012,1,1,1,1,0,0,0,0,3,40
1/1/2012,1,1,1,1,1,0,0,0,16,80
1/1/2012,1,1,1,1,2,0,0,0,14,56
1/1/2012,1,1,1,1,3,0,0,0,12,43
1/1/2012,1,1,1,1,4,0,0,0,0,5
1/1/2012,1,1,1,1,5,0,0,0,1,7
1/1/2012,1,1,1,1,6,0,0,0,1,1
1/1/2012,1,1,1,1,7,0,0,0,2,8
1/1/2012,1,1,1,1,8,0,0,0,2,7
1/1/2012,1,1,1,1,9,0,0,0,14,29
1/1/2012,1,1,1,1,10,0,0,0,16,49
1/1/2012,1,1,1,1,11,0,0,0,41,100
1/1/2012,1,1,1,1,12,0,0,0,56,140
1/1/2012,1,1,1,1,13,0,0,0,83,143
1/1/2012,1,1,1,1,14,0,0,0,118,144
1/1/2012,1,1,1,1,15,0,0,0,102,166
1/1/2012,1,1,1,1,16,0,0,0,66,144
1/1/2012,1,1,1,1,17,0,0,0,37,77
1/1/2012,1,1,1,1,18,0,0,0,23,78
1/1/2012,1,1,1,1,19,0,0,0,21,87
1/1/2012,1,1,1,1,20,0,0,0,23,55
1/1/2012,1,1,1,1,21,0,0,0,11,63
1/1/2012,1,1,1,1,22,0,0,0,11,50
1/1/2012,1,1,1,1,23,0,0,0,5,27
1/2/2012,1,1,1,2,0,1,1,0,6,28
1/2/2012,1,1,1,2,1,1,1,0,2,13
1/2/2012,1,1,1,2,2,1,1,0,1,3
1/2/2012,1,1,1,2,4,1,1,0,1,6
1/2/2012,1,1,1,2,5,1,1,0,1,3
1/2/2012,1,1,1,2,6,1,1,0,1,16
1/2/2012,1,1,1,2,7,1,1,0,0,13
1/2/2012,1,1,1,2,8,1,1,0,3,53
1/2/2012,1,1,1,2,9,1,1,0,13,50
1/2/2012,1,1,1,2,10,1,1,0,21,91
1/2/2012,1,1,1,2,11,1,1,0,31,139
1/2/2012,1,1,1,2,12,1,1,0,42,163
1/2/2012,1,1,1,2,13,1,1,0,24,147
1/2/2012,1,1,1,2,14,1,1,0,11,143
1/2/2012,1,1,1,2,15,1,1,0,27,136
1/2/2012,1,1,1,2,16,1,1,0,11,146
1/2/2012,1,1,1,2,17,1,1,0,15,133
1/2/2012,1,1,1,2,18,1,1,0,14,115
1/2/2012,1,1,1,2,19,1,1,0,2,86
1/2/2012,1,1,1,2,20,1,1,0,6,85
1/2/2012,1,1,1,2,21,1,1,0,1,60
1/2/2012,1,1,1,2,22,1,1,0,4,38
1/2/2012,1,1,1,2,23,1,1,0,2,29
1/3/2012,1,1,1,3,0,0,2,1,1,15
1/3/2012,1,1,1,3,1,0,2,1,1,2
1/3/2012,1,1,1,3,2,0,2,1,1,5
1/3/2012,1,1,1,3,3,0,2,1,0,2
1/3/2012,1,1,1,3,4,0,2,1,1,7
1/3/2012,1,1,1,3,5,0,2,1,0,9
1/3/2012,1,1,1,3,6,0,2,1,5,83
1/3/2012,1,1,1,3,7,0,2,1,2,165
1/3/2012,1,1,1,3,8,0,2,1,6,351
1/3/2012,1,1,1,3,9,0,2,1,6,142
1/3/2012,1,1,1,3,10,0,2,1,6,57
1/3/2012,1,1,1,3,11,0,2,1,10,60
1/3/2012,1,1,1,3,12,0,2,1,5,72
1/3/2012,1,1,1,3,13,0,2,1,3,65
1/3/2012,1,1,1,3,14,0,2,1,8,74
1/3/2012,1,1,1,3,15,0,2,1,7,65
1/3/2012,1,1,1,3,16,0,2,1,8,131
1/3/2012,1,1,1,3,17,0,2,1,2,238
1/3/2012,1,1,1,3,18,0,2,1,11,216
1/3/2012,1,1,1,3,19,0,2,1,2,149
1/3/2012,1,1,1,3,20,0,2,1,1,117
1/3/2012,1,1,1,3,21,0,2,1,2,63
1/3/2012,1,1,1,3,22,0,2,1,1,35
1/3/2012,1,1,1,3,23,0,2,1,0,15
1/4/2012,1,1,1,4,0,0,3,1,1,11
1/4/2012,1,1,1,4,1,0,3,1,0,3
1/4/2012,1,1,1,4,2,0,3,1,1,3
1/4/2012,1,1,1,4,3,0,3,1,0,1
1/4/2012,1,1,1,4,4,0,3,1,1,4
1/4/2012,1,1,1,4,5,0,3,1,0,11
1/4/2012,1,1,1,4,6,0,3,1,1,61
1/4/2012,1,1,1,4,7,0,3,1,1,148
1/4/2012,1,1,1,4,8,0,3,1,6,312
1/4/2012,1,1,1,4,9,0,3,1,5,170
1/4/2012,1,1,1,4,10,0,3,1,8,59
1/4/2012,1,1,1,4,11,0,3,1,4,37
1/4/2012,1,1,1,4,12,0,3,1,10,77
1/4/2012,1,1,1,4,13,0,3,1,7,79
1/4/2012,1,1,1,4,14,0,3,1,7,71
1/4/2012,1,1,1,4,15,0,3,1,7,78
1/4/2012,1,1,1,4,16,0,3,1,9,125
1/4/2012,1,1,1,4,17,0,3,1,7,269
1/4/2012,1,1,1,4,18,0,3,1,10,282
1/4/2012,1,1,1,4,19,0,3,1,2,179
1/4/2012,1,1,1,4,20,0,3,1,3,123
1/4/2012,1,1,1,4,21,0,3,1,2,85
1/4/2012,1,1,1,4,22,0,3,1,5,50
1/4/2012,1,1,1,4,23,0,3,1,0,29
1/5/2012,1,1,1,5,0,0,4,1,2,15
1/5/2012,1,1,1,5,1,0,4,1,0,2
1/5/2012,1,1,1,5,2,0,4,1,1,6
1/5/2012,1,1,1,5,3,0,4,1,0,1
1/5/2012,1,1,1,5,4,0,4,1,1,7
1/5/2012,1,1,1,5,5,0,4,1,0,23
1/5/2012,1,1,1,5,6,0,4,1,1,80
1/5/2012,1,1,1,5,7,0,4,1,1,209
1/5/2012,1,1,1,5,8,0,4,1,12,379
1/5/2012,1,1,1,5,9,0,4,1,5,217
1/5/2012,1,1,1,5,10,0,4,1,6,83
1/5/2012,1,1,1,5,11,0,4,1,4,75
1/5/2012,1,1,1,5,12,0,4,1,7,116
1/5/2012,1,1,1,5,13,0,4,1,4,109
1/5/2012,1,1,1,5,14,0,4,1,14,106
1/5/2012,1,1,1,5,15,0,4,1,4,110
1/5/2012,1,1,1,5,16,0,4,1,20,180
1/5/2012,1,1,1,5,17,0,4,1,17,390
1/5/2012,1,1,1,5,18,0,4,1,10,376
1/5/2012,1,1,1,5,19,0,4,1,8,252
1/5/2012,1,1,1,5,20,0,4,1,6,174
1/5/2012,1,1,1,5,21,0,4,1,7,85
1/5/2012,1,1,1,5,22,0,4,1,2,72
1/5/2012,1,1,1,5,23,0,4,1,2,53
1/6/2012,1,1,1,6,0,0,5,1,2,26
1/6/2012,1,1,1,6,1,0,5,1,2,3
1/6/2012,1,1,1,6,2,0,5,1,3,5
1/6/2012,1,1,1,6,3,0,5,1,1,3
1/6/2012,1,1,1,6,4,0,5,1,1,5
1/6/2012,1,1,1,6,5,0,5,1,0,10
1/6/2012,1,1,1,6,6,0,5,1,2,71
1/6/2012,1,1,1,6,7,0,5,1,2,198
1/6/2012,1,1,1,6,8,0,5,1,12,438
1/6/2012,1,1,1,6,9,0,5,1,2,234
1/6/2012,1,1,1,6,10,0,5,1,15,104
1/6/2012,1,1,1,6,11,0,5,1,6,127
1/6/2012,1,1,1,6,12,0,5,1,24,170
1/6/2012,1,1,1,6,13,0,5,1,14,185
1/6/2012,1,1,1,6,14,0,5,1,27,154
1/6/2012,1,1,1,6,15,0,5,1,42,175
1/6/2012,1,1,1,6,16,0,5,1,36,261
1/6/2012,1,1,1,6,17,0,5,1,18,453
1/6/2012,1,1,1,6,18,0,5,1,29,393
1/6/2012,1,1,1,6,19,0,5,1,9,258
1/6/2012,1,1,1,6,20,0,5,1,15,165
1/6/2012,1,1,1,6,21,0,5,1,15,134
1/6/2012,1,1,1,6,22,0,5,1,13,125
1/6/2012,1,1,1,6,23,0,5,1,11,85
1/7/2012,1,1,1,7,0,0,6,0,3,79
1/7/2012,1,1,1,7,1,0,6,0,4,53
1/7/2012,1,1,1,7,2,0,6,0,3,38
1/7/2012,1,1,1,7,3,0,6,0,1,16
1/7/2012,1,1,1,7,4,0,6,0,2,11
1/7/2012,1,1,1,7,5,0,6,0,2,4
1/7/2012,1,1,1,7,6,0,6,0,1,9
1/7/2012,1,1,1,7,7,0,6,0,0,17
1/7/2012,1,1,1,7,8,0,6,0,1,66
1/7/2012,1,1,1,7,9,0,6,0,12,113
1/7/2012,1,1,1,7,10,0,6,0,44,162
1/7/2012,1,1,1,7,11,0,6,0,72,247
1/7/2012,1,1,1,7,12,0,6,0,101,278
1/7/2012,1,1,1,7,13,0,6,0,147,293
1/7/2012,1,1,1,7,14,0,6,0,157,358
1/7/2012,1,1,1,7,15,0,6,0,130,314
1/7/2012,1,1,1,7,16,0,6,0,134,270
1/7/2012,1,1,1,7,17,0,6,0,85,232
1/7/2012,1,1,1,7,18,0,6,0,50,250
1/7/2012,1,1,1,7,19,0,6,0,42,168
1/7/2012,1,1,1,7,20,0,6,0,22,151
1/7/2012,1,1,1,7,21,0,6,0,20,115
1/7/2012,1,1,1,7,22,0,6,0,17,95
1/7/2012,1,1,1,7,23,0,6,0,14,100
1/8/2012,1,1,1,8,0,0,0,0,15,79
1/8/2012,1,1,1,8,1,0,0,0,8,59
1/8/2012,1,1,1,8,2,0,0,0,11,59
1/8/2012,1,1,1,8,3,0,0,0,4,23
1/8/2012,1,1,1,8,4,0,0,0,3,6
1/8/2012,1,1,1,8,5,0,0,0,0,2
1/8/2012,1,1,1,8,6,0,0,0,1,4
1/8/2012,1,1,1,8,7,0,0,0,1,20
1/8/2012,1,1,1,8,8,0,0,0,5,55
1/8/2012,1,1,1,8,9,0,0,0,21,99
1/8/2012,1,1,1,8,10,0,0,0,28,183
1/8/2012,1,1,1,8,11,0,0,0,53,198
1/8/2012,1,1,1,8,12,0,0,0,79,275
1/8/2012,1,1,1,8,13,0,0,0,75,263
1/8/2012,1,1,1,8,14,0,0,0,76,255
1/8/2012,1,1,1,8,15,0,0,0,87,238
1/8/2012,1,1,1,8,16,0,0,0,59,258
1/8/2012,1,1,1,8,17,0,0,0,20,194
1/8/2012,1,1,1,8,18,0,0,0,20,164
1/8/2012,1,1,1,8,19,0,0,0,6,101
1/8/2012,1,1,1,8,20,0,0,0,8,121
1/8/2012,1,1,1,8,21,0,0,0,8,78
1/8/2012,1,1,1,8,22,0,0,0,5,56
1/8/2012,1,1,1,8,23,0,0,0,0,27
1/9/2012,1,1,1,9,0,0,1,1,4,14
1/9/2012,1,1,1,9,1,0,1,1,1,1
1/9/2012,1,1,1,9,2,0,1,1,3,5
1/9/2012,1,1,1,9,3,0,1,1,0,3
1/9/2012,1,1,1,9,4,0,1,1,1,6
1/9/2012,1,1,1,9,5,0,1,1,0,18
1/9/2012,1,1,1,9,6,0,1,1,4,87
1/9/2012,1,1,1,9,7,0,1,1,1,236
1/9/2012,1,1,1,9,8,0,1,1,14,409
1/9/2012,1,1,1,9,9,0,1,1,7,185
1/9/2012,1,1,1,9,10,0,1,1,14,97
1/9/2012,1,1,1,9,11,0,1,1,4,79
1/9/2012,1,1,1,9,12,0,1,1,11,95
1/9/2012,1,1,1,9,13,0,1,1,1,74
1/9/2012,1,1,1,9,14,0,1,1,6,47
1/9/2012,1,1,1,9,15,0,1,1,3,61
1/9/2012,1,1,1,9,16,0,1,1,4,48
1/9/2012,1,1,1,9,17,0,1,1,3,144
1/9/2012,1,1,1,9,18,0,1,1,7,160
1/9/2012,1,1,1,9,19,0,1,1,1,184
1/9/2012,1,1,1,9,20,0,1,1,6,129
1/9/2012,1,1,1,9,21,0,1,1,1,75
1/9/2012,1,1,1,9,22,0,1,1,9,56
1/9/2012,1,1,1,9,23,0,1,1,1,48
1/10/2012,1,1,1,10,0,0,2,1,1,16
1/10/2012,1,1,1,10,1,0,2,1,2,3
1/10/2012,1,1,1,10,2,0,2,1,3,4
1/10/2012,1,1,1,10,4,0,2,1,0,1
1/10/2012,1,1,1,10,5,0,2,1,1,25
1/10/2012,1,1,1,10,6,0,2,1,0,76
1/10/2012,1,1,1,10,7,0,2,1,4,221
1/10/2012,1,1,1,10,8,0,2,1,4,462
1/10/2012,1,1,1,10,9,0,2,1,12,186
1/10/2012,1,1,1,10,10,0,2,1,1,77
1/10/2012,1,1,1,10,11,0,2,1,9,95
1/10/2012,1,1,1,10,12,0,2,1,11,124
1/10/2012,1,1,1,10,13,0,2,1,16,165
1/10/2012,1,1,1,10,14,0,2,1,8,93
1/10/2012,1,1,1,10,15,0,2,1,18,121
1/10/2012,1,1,1,10,16,0,2,1,13,222
1/10/2012,1,1,1,10,17,0,2,1,15,448
1/10/2012,1,1,1,10,18,0,2,1,11,369
1/10/2012,1,1,1,10,19,0,2,1,12,272
1/10/2012,1,1,1,10,20,0,2,1,8,187
1/10/2012,1,1,1,10,21,0,2,1,8,111
1/10/2012,1,1,1,10,22,0,2,1,8,101
1/10/2012,1,1,1,10,23,0,2,1,4,40
1/11/2012,1,1,1,11,0,0,3,1,2,23
1/11/2012,1,1,1,11,1,0,3,1,2,8
1/11/2012,1,1,1,11,2,0,3,1,0,2
1/11/2012,1,1,1,11,3,0,3,1,1,6
1/11/2012,1,1,1,11,4,0,3,1,0,2
1/11/2012,1,1,1,11,5,0,3,1,1,24
1/11/2012,1,1,1,11,6,0,3,1,2,69
1/11/2012,1,1,1,11,7,0,3,1,10,249
1/11/2012,1,1,1,11,8,0,3,1,9,485
1/11/2012,1,1,1,11,9,0,3,1,8,220
1/11/2012,1,1,1,11,10,0,3,1,11,81
1/11/2012,1,1,1,11,11,0,3,1,10,92
1/11/2012,1,1,1,11,12,0,3,1,2,48
1/11/2012,1,1,1,11,13,0,3,1,9,59
1/11/2012,1,1,1,11,14,0,3,1,1,67
1/11/2012,1,1,1,11,15,0,3,1,7,75
1/11/2012,1,1,1,11,16,0,3,1,4,109
1/11/2012,1,1,1,11,17,0,3,1,7,130
1/11/2012,1,1,1,11,18,0,3,1,2,93
1/11/2012,1,1,1,11,19,0,3,1,2,94
1/11/2012,1,1,1,11,20,0,3,1,2,52
1/11/2012,1,1,1,11,21,0,3,1,1,31
1/11/2012,1,1,1,11,22,0,3,1,0,46
1/11/2012,1,1,1,11,23,0,3,1,1,11
1/12/2012,1,1,1,12,0,0,4,1,0,3
1/12/2012,1,1,1,12,1,0,4,1,1,5
1/12/2012,1,1,1,12,2,0,4,1,1,1
1/12/2012,1,1,1,12,3,0,4,1,1,5
1/12/2012,1,1,1,12,4,0,4,1,0,2
1/12/2012,1,1,1,12,5,0,4,1,1,18
1/12/2012,1,1,1,12,6,0,4,1,1,85
1/12/2012,1,1,1,12,7,0,4,1,3,220
1/12/2012,1,1,1,12,8,0,4,1,9,494
1/12/2012,1,1,1,12,9,0,4,1,11,222
1/12/2012,1,1,1,12,10,0,4,1,4,81
1/12/2012,1,1,1,12,11,0,4,1,19,103
1/12/2012,1,1,1,12,12,0,4,1,12,127
1/12/2012,1,1,1,12,13,0,4,1,14,172
1/12/2012,1,1,1,12,14,0,4,1,22,129
1/12/2012,1,1,1,12,15,0,4,1,33,158
